minute,second,type,outcomeType,period,playerName,team,playerId,player_position,shirtNumber,x,y,endX,endY,goal_mouth_y,goal_mouth_z,is_key_pass,is_cross,is_long_ball,is_switch_of_play,is_diagonal_long_ball,is_box_entry_pass,is_deep_completion,is_box_entry_carry,is_final_third_entry_pass,is_final_third_entry_carry,is_throw_in,is_goal_kick,is_keeper_throw,is_gk_hoof,is_gk_kick_from_hands,is_pull_back,is_lay_off,is_flick_on,is_launch,is_assist,is_attacking_pass,is_scramble,is_corner_situation,is_throw_in_sp,is_shot_strong,is_shot_weak,is_individual_play,is_follows_dribble,is_1on1,is_deflected,is_hit_woodwork,is_back_heel,is_1on1_chip,is_def_block,is_last_line,is_forced_out,is_blocked_cross,is_error_led_to_shot,is_error_led_to_goal,is_through_ball,is_corner,is_freekick,is_header,is_own_goal,is_big_chance,is_big_chance_shot,is_gk_save,is_penalty,is_volley,is_chipped,is_direct_from_corner,is_left_foot,is_right_foot,is_fast_break,is_touch_in_box,is_assist_throughball,is_assist_cross,is_assist_corner,is_assist_freekick,is_intentional_assist,is_yellow_card,is_red_card,is_second_yellow,is_nutmeg,is_success_in_box,pitch_zone,depth_zone,xT,prog_pass,prog_carry,matchName,homeTeam,awayTeam,matchDate,player,event,outcome
0,0,TeamSetUp,Successful,FirstHalf,,Real Sociedad,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,TeamSetUp,Successful
0,0,TeamSetUp,Successful,FirstHalf,,Celta,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,TeamSetUp,Successful
0,0,Start,Successful,FirstHalf,,Celta,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,Start,Successful
0,0,Start,Successful,FirstHalf,,Real Sociedad,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,Start,Successful
0,0,Pass,Successful,FirstHalf,I. Moriba,Celta,64ctdbd0w5ikj0fkcuu9jdbhm,,,49.9,50.2,22.5,29.5,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Central,Middle Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,I. Moriba,Long Pass,Successful
0,0,End,Successful,FirstHalf,,Real Sociedad,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,End,Successful
0,0,End,Successful,FirstHalf,,Celta,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,End,Successful
0,0,CollectionEnd,Successful,FirstHalf,,Real Sociedad,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,CollectionEnd,Successful
0,0,CollectionEnd,Successful,FirstHalf,,Celta,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,CollectionEnd,Successful
0,0,Unknown_71,Unsuccessful,FirstHalf,,Real Sociedad,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,,Unknown_71,Unsuccessful
0,4,Pass,Unsuccessful,FirstHalf,I. Radu,Celta,6wplm29z7qxxmujyc2ml19gix,,,22.8,25.5,69.6,7.5,,,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,I. Radu,Long Pass,Unsuccessful
0,7,Aerial,Successful,FirstHalf,Sergio Gómez,Real Sociedad,d4tdx2ctadv6kc3tbq4as8bmx,,,30.4,92.5,30.4,92.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Left Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,Sergio Gómez,Aerial Won,Successful
0,7,Aerial,Unsuccessful,FirstHalf,Javi Rueda,Celta,75xbiozismh96vufhrhkng4mi,,,69.6,7.5,69.6,7.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Final Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,Javi Rueda,Aerial Lost,Unsuccessful
0,7,Clearance,Successful,FirstHalf,Sergio Gómez,Real Sociedad,d4tdx2ctadv6kc3tbq4as8bmx,,,30.4,92.5,29.8,100.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Left Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,Sergio Gómez,Clearance,Successful
0,9,Out,Unsuccessful,FirstHalf,Sergio Gómez,Real Sociedad,d4tdx2ctadv6kc3tbq4as8bmx,,,30.0,100.5,30.0,100.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Left Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,Sergio Gómez,Out,Unsuccessful
0,9,Out,Successful,FirstHalf,Javi Rueda,Celta,75xbiozismh96vufhrhkng4mi,,,70.0,-0.5,70.0,-0.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Final Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,Javi Rueda,Out,Successful
0,14,Pass,Unsuccessful,FirstHalf,Javi Rueda,Celta,75xbiozismh96vufhrhkng4mi,,,70.4,0.0,86.8,31.5,,,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Right Wing,Final Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,Javi Rueda,Long Pass,Unsuccessful
0,17,Clearance,Successful,FirstHalf,Jon Martín,Real Sociedad,8krgbfnydbtyongkwnsaj43kk,,,12.4,72.4,23.3,64.1,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Left Wing,Defensive Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,Jon Martín,Clearance,Successful
0,19,Pass,Successful,FirstHalf,I. Moriba,Celta,64ctdbd0w5ikj0fkcuu9jdbhm,,,78.2,41.8,75.9,36.6,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Central,Final Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,I. Moriba,Pass,Successful
0,20,Pass,Unsuccessful,FirstHalf,Andrés Antañón,Celta,96h53hatq4r3zsfvn5xl752c4,,,75.9,36.6,76.1,39.6,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Central,Final Third,,,,Real Sociedad vs Celta,Real Sociedad,Celta,2026-09-03,Andrés Antañón,Pass,Unsuccessful
